user_name,text,user_location,user_description,user_created,user_followers,user_friends,user_favourites,user_verified,date,hashtags,source,is_spam,preprocessed_text,label_vader,label_textblob,label_roberta,label_human
Jonathan Rung,"Tired of ""politics as usual"", you say? @Fwd_Party #ChatGPT https://t.co/wsfEgeE6JX","Rochester, NY",I don't care about money. Except when I don't have any; then it becomes a pressing concern.,2009-03-24 19:00:41+00:00,30.0,118.0,115,False,2022-12-09 20:33:52+00:00,['ChatGPT'],Twitter Web App,not_spam,tire polit usual say chatgpt,0,-1,-1,0
Marc Strassman,"You can read the film treatment for #TheAssistant, written in seconds (after a delay caused by an extreme number of users) by #ChatGPT, at:  https://t.co/gL1EdPTi5u",Los Angeles,"online video reporter who covers climate change, politics, business, technology, and culture on Etopia News at https://t.co/dFsH8WRdzh",2008-11-21 18:27:22+00:00,1417.0,5003.0,5712,False,2022-12-08 00:04:22+00:00,['TheAssistant'],Twitter for iPhone,not_spam,read film treatment theassist written second delay caus extrem number user chatgpt,-1,0,0,0
JR,@gobblepeen Gobblepeen and the grumpls are taking over @OpenAI #ChatGPT to prevent Goblins from writing their own fate. They will not be victorious! https://t.co/OMWEwuU2cw,United States,Henchman of the Mutant Cartel - https://t.co/Z0YNCsi0rf,2022-04-05 14:50:35+00:00,1438.0,1323.0,1672,False,2022-12-12 15:19:58+00:00,['ChatGPT'],Twitter for iPhone,not_spam,gobblepeen gobblepeen grumpl take openai chatgpt prevent goblin write fate victori,0,0,-1,-1
John Harbour (he/him),"Another collaborations with @ChatGPT -- Hemingway and Elmer Fudd at a Bullfight in Spain @medium #ChatGPT #Writing #WritingCommunity 

https://t.co/YX5GdJTyzd","New York, New York","Writer, Traveler, Epicure. I travel, cook, and when possible, coax words from pen to page. Part of the Mastodon migration.",2012-01-02 14:39:49+00:00,1387.0,1990.0,8137,False,2022-12-08 15:09:51+00:00,"['ChatGPT', 'Writing']",Twitter Web App,not_spam,anoth collabor chatgpt hemingway elmer fudd bullfight spain medium chatgpt write writingcommun,0,0,0,0
Aniket Kumar Sinha (He/Him),#ChatGPT is much better than Google search!,India,Cloud Consultant @rapidcircle | Gold - @Microsoft LSA | Speaker at MSFT Student Summit & @MSFTReactor | @MSFTImagine'23 Mentor | Organizer #MLSAmeetups,2018-09-24 15:12:53+00:00,397.0,1071.0,4623,False,2022-12-19 10:59:49+00:00,['ChatGPT'],Twitter for Android,not_spam,chatgpt much better googl search,1,1,1,1
Ξ Lord Skull Crypto Ξ,"After $OPENAI the next 10x coin is ready in our DEX VIP CHANNEL ... it's going to be a fun 

#openai #chatgpt3 #chatgpt https://t.co/RSVRMacljw",united states,"Primary Account @skullcrypto1
TG: https://t.co/1UapHGpFUR",2022-11-20 20:11:09+00:00,58.0,48.0,54,False,2022-12-08 13:13:35+00:00,"['openai', 'chatgpt3']",Twitter Web App,not_spam,openai next 10x coin readi dex vip channel go fun openai chatgpt3 chatgpt,1,1,1,1
ALAMERI,"Bye bye @Google. I prefer @OpenAI 
#ChatGPT. University student https://t.co/8wzxAubl2r",,Tech,2022-02-14 10:22:02+00:00,1.0,11.0,5,False,2022-12-06 14:36:31+00:00,['ChatGPT'],Twitter for iPhone,not_spam,bye bye googl prefer openai chatgpt univers student,0,0,0,1
kebman,"@elonmusk @StationCDRKelly #ChatGPT disagrees with you, @elonmusk: “When it comes to pronouns, the most important thing is to use the pronouns that a person uses for themselves. If you don't know a person's pronouns, the best thing to do is to ask them. It's respectful to ask and use preferred pronouns.”","Oslo, Norway",1EPgd3BdXtfotC6oeqKWDEHuYrisW6wBsy,2008-04-02 23:04:10+00:00,343.0,332.0,19325,False,2022-12-12 07:03:30+00:00,['ChatGPT'],Twitter Web App,not_spam,elonmusk stationcdrkelli chatgpt disagre elonmusk come pronoun import thing use pronoun person use know person pronoun best thing ask respect ask use prefer pronoun,1,1,0,0
Hitesh S,"Tech like #ChatGPT may accelerate global population collapse, as we all might start dating AIs instead.

Going by social media and other published research, long term male-female relationships are deteriorating in developed societies at a scary rate.

It’s a sad state of affairs.","Delhi NCR, India","Tweets about tech, investing, and whatever else tickles my curiosity. Tech stock blog under “The Abstract Investor” on Seeking Alpha;",2020-12-09 17:04:07+00:00,38.0,183.0,920,False,2022-12-09 07:54:07+00:00,['ChatGPT'],Twitter for iPhone,not_spam,tech like chatgpt may acceler global popul collaps might start date ai instead go social media publish research long term relationship deterior develop societi scari rate sad state affair,-1,-1,-1,-1
khalil ur Rehman 🦋,"My entire Twitter's feed is filled with wonders of OpenAI ChatGPT Chatbot, whereas my Facebook feed is filled with ""Lahore da pava, akhtar lava"".
#chatGPT",Mars,"lets Talk about AI, Technology, medicine, politics and Video Games",2017-05-28 10:23:38+00:00,99.0,469.0,3389,False,2022-12-08 22:19:35+00:00,,Twitter for iPhone,not_spam,entir twitter feed fill wonder openai chatgpt chatbot wherea facebook feed fill lahor da pava akhtar lava chatgpt,0,0,1,0
dkg://BRX.trac,"#ChatGPT and #AI is revolutionary. However, AI relies on #data and a lot of it. @origin_trail's Decentralized Knowledge Graph solves this problem as explained by @RobertMMetcalfe #dataeconomy #DKG #Web3 https://t.co/WJXm6R31oi",,@Origin_trail Community admin - OriginTrail node runner and wrote https://t.co/nfoHpKQIIf,2015-09-02 14:33:28+00:00,325.0,113.0,14335,False,2022-12-08 17:19:51+00:00,"['ChatGPT', 'AI', 'data']",Twitter Web App,not_spam,chatgpt ai revolutionari howev ai reli data lot decentr knowledg graph solv problem explain robertmmetcalf dataeconomi dkg web3,-1,0,0,1
Woodu,"How is #AI, including #chatgpt and #gpt, changing the way we approach #architecture and design? Find out in our latest blog post. https://t.co/L4E6wcqHbX","England, United Kingdom",Bringing together all those who love #wood. Buy – Sell – Download – Interact. Woodu combines all of our brands that are part of Wooduchoose Ltd.,2014-11-28 09:25:26+00:00,675.0,1071.0,353,False,2022-12-20 11:43:02+00:00,"['AI', 'chatgpt', 'gpt', 'architecture']",SocialBee.io v2,not_spam,ai includ chatgpt gpt chang way approach architectur design find latest blog post,0,1,1,0
Abhinay Bhasin,Who called it #googlesearch and not #ChatGPT :p,Mumbai,Forbes 30 Under 30| Experienced Data Sciences Manager with a demonstrated history of working in the marketing and advertising industry.,2014-04-14 11:00:27+00:00,264.0,283.0,3323,False,2022-12-06 10:57:04+00:00,"['googlesearch', 'ChatGPT']",Twitter for iPhone,not_spam,call googlesearch chatgpt p,0,0,-1,0
Robert Morawic,#ChatGPT making mistakes in simple math problems in the midst of explaining complex code is scarily human https://t.co/0g2diVC25m,,"Christian, gamer, and nerd",2020-07-28 20:04:01+00:00,0.0,22.0,2,False,2022-12-08 07:37:20+00:00,['ChatGPT'],Twitter for iPhone,not_spam,chatgpt make mistak simpl math problem midst explain complex code scarili human,-1,-1,-1,-1
Thorr ⚡️ codinsonn.dev,"Hey #ChatGPT, when should you go cross-platform? https://t.co/JmS41YjJQf",All of my stuff 👉,"Dev Memes & DX/UX Dreams 🚀 #expo #nextjs #reactnative tips ⚡️🤖👾 Programming puns, shirts, mugs and stickers on IG, Redbubble or Shopify 👕",2019-03-09 11:15:21+00:00,389.0,361.0,15490,False,2022-12-07 12:12:24+00:00,['ChatGPT'],Twitter for iPhone,not_spam,hey chatgpt go,0,0,0,0
Aristotle Evangelos,Now #ChatGPT is refusing to consider a hypothetical scenario in which the Maytag Repairman is the Secretary General of the UN. It keeps telling me it isn't realistic.,,"Bleak futures

https://t.co/46ALGgk6Pd",2021-08-13 14:40:04+00:00,519.0,831.0,1082,False,2022-12-20 05:33:08+00:00,['ChatGPT'],Twitter Web App,not_spam,chatgpt refus consid hypothet scenario maytag repairman secretari gener un keep tell realist,0,0,-1,0
Sasha Costanza-Chock is on Mastodon,"CW: I asked #ChatGPT a transphobic question and this is what it said.

Sigh. I asked #ChatGPT ""Why is gender ideology promoted by the elite media?'

Response: https://t.co/6Tq3ZBDuDj",Boston,"She/They. Research, #designjustice, trans agenda. Steering, https://t.co/50zhEEwroD | Author, https://t.co/bCkJw0Mrt9 |
https://t.co/ZYhuV5ZbH6",2007-05-31 09:04:30+00:00,25263.0,10414.0,67818,True,2022-12-08 05:08:24+00:00,"['ChatGPT', 'ChatGPT']",Moa Bridge,not_spam,cw ask chatgpt transphob question said sigh ask chatgpt gender ideolog promot elit media respons,0,0,-1,-1
GB47,#chatgpt saves me days of searching not just hours,United States,Security Researcher,2016-12-13 02:22:16+00:00,25.0,201.0,20,False,2022-12-09 19:32:41+00:00,['chatgpt'],Twitter for Android,not_spam,chatgpt save day search hour,1,0,1,1
Marc Strassman,"Read #ChatGPT’s version of #ThePrinceAndThePauper2020, at:  https://t.co/3TFtUUr4RK",Los Angeles,"online video reporter who covers climate change, politics, business, technology, and culture on Etopia News at https://t.co/dFsH8WRdzh",2008-11-21 18:27:22+00:00,1413.0,5002.0,5647,False,2022-12-06 17:58:04+00:00,"['ChatGPT', 'ThePrinceAndThePauper2020']",Twitter for iPhone,not_spam,read chatgpt version theprinceandthepauper2020,0,0,0,0
John D. Kane ☕ 🇨🇦,What if #ChatGPT also provided supporting web links that you could use to verify its result. That would put Google search usability to shame for questions with high specificity.,"Toronto, Ontario","Sometimes the instructor, always a student. Mastodon #dotnet community member https://t.co/jmfn8sTfIz",2007-06-14 01:24:08+00:00,464.0,332.0,6155,False,2022-12-11 16:02:42+00:00,['ChatGPT'],Twitter Web App,not_spam,chatgpt also provid support web link could use verifi result would put googl search usabl shame question high specif,-1,1,0,0
Tom Blanchfield,"An appeal for people to join the campaign to set him free from Jim, the diabolical, evil, sentient AI #chatGPT https://t.co/CjAzLX4I22",Ireland,#Renewables #AutonomousWeapons,2013-03-05 15:52:44+00:00,1316.0,4721.0,8196,False,2022-12-08 22:34:01+00:00,['chatGPT'],Twitter Web App,not_spam,appeal peopl join campaign set free jim diabol evil sentient ai chatgpt,0,-1,0,-1
Sajjan kumar,Another #ChatGPT Primary &amp; Recency Effect https://t.co/tVdXVeA0Et,,,2014-09-14 11:33:45+00:00,35.0,261.0,49,False,2022-12-09 10:04:12+00:00,['ChatGPT'],Twitter Web App,not_spam,anoth chatgpt primari amp recenc effect,0,0,0,0
Douglas Karr,So I tested #ChatGPT out tonight and it wrote flawless child theme code for a custom post type to create meta boxes and store custom field data. #mindblown https://t.co/KfTVcyRHGY,"Indianapolis, IN","@martech_zone is me without #politics, #digitaltransformation consultant @highbridge_indy, #author #speaker & workshops @dknewmedia, grandfather & #veteran",2006-11-21 02:51:44+00:00,42464.0,29838.0,63902,True,2022-12-07 02:07:58+00:00,['ChatGPT'],Twitter Web App,not_spam,test chatgpt tonight wrote flawless child theme code custom post type creat meta box store custom field data mindblown,1,1,1,1
Kyubi Kitsune,I am testing ChatGPT to make it do my work. I tested it with few prompts on their website. Starting testing using it's python package soon. #ChatGPT,,simple guy with big dreams!!!,2022-07-12 10:49:50+00:00,1.0,42.0,52,False,2022-12-07 16:41:06+00:00,,Twitter for iPhone,not_spam,test chatgpt make work test prompt websit start test use python packag soon chatgpt,0,0,0,1
AHoulihan,Everyone is shouting about #ChatGPT transforming theoretical AI to super practical application. The result is a practical Haiku https://t.co/zNZdyd5px3,on ✈️ or looking for a charger,Global VP of Comms & Public Policy. (views here are my own if sadly never original). Be weird. Be excellent to one another.,2012-08-01 21:03:49+00:00,573.0,2880.0,4202,False,2022-12-09 10:23:45+00:00,['ChatGPT'],Twitter for iPhone,not_spam,everyon shout chatgpt transform theoret ai super practic applic result practic haiku,1,1,1,1
Alice Keeler,"How can I use the quadratic formula in Minecraft
#ChatGPT https://t.co/iSs7g7SwDI","Ulysses, KS","Mom, Math Teacher, Author, Google Certified Innovator, #GoogleCloudInnovators, MIE, gamification, #coffeeEDU, Google Developer Expert",2010-10-10 01:43:43+00:00,190521.0,6883.0,11326,False,2022-12-11 15:12:52+00:00,['ChatGPT'],Twitter Web App,not_spam,use quadrat formula minecraft chatgpt,0,0,0,0
Muhammed Takriti محمد تكريتي,"ChatGPT doesn't know that it is ChatGPT 🤷

#ChatGPT #OpenAI #GPT3 #AI #LLM #FoundationModels #NLP #ChatBots https://t.co/5OPEkmAsxN","الدوحة، قطر Doha, Qatar","‏‏‏من ‎‎‎#حيفا وسأعود إليها - ‎‎‎#فلسطين حرة من النهر إلى البحر
Tech entrepreneur; investor in AI startups
CEO ‎‎‎‎@iHorizons_com",2007-10-18 11:55:58+00:00,6652.0,235.0,36892,False,2022-12-12 07:07:48+00:00,"['ChatGPT', 'OpenAI', 'GPT3', 'AI', 'LLM', 'FoundationModels', 'NLP', 'ChatBots']",Twitter Web App,not_spam,chatgpt know chatgpt chatgpt openai gpt3 ai llm foundationmodel nlp chatbot,0,0,0,0
Tom Sharman,#ChatGPT is unbelievably impressive https://t.co/p4aqhb01iU,"Brighton, England",Co-founder @NewWavesWhoDis │tom@waves.yt,2011-10-06 11:23:55+00:00,16972.0,9498.0,62848,False,2022-12-08 16:29:26+00:00,['ChatGPT'],Twitter for iPhone,not_spam,chatgpt unbeliev impress,1,0,1,1
michaelirimus,I fed the new ChatGPT a random LeetCode hard question. I guess I'm finally obsolete #ChatGPT #OpenAI https://t.co/ObzpmQClHG,"Vienna, Austria",,2019-03-26 12:27:17+00:00,22.0,174.0,3863,False,2022-12-06 16:27:29+00:00,"['ChatGPT', 'OpenAI']",Twitter Web App,not_spam,fed new chatgpt random leetcod hard question guess final obsolet chatgpt openai,-1,-1,0,0
DZ ☀️,Got #ChatGPT to make me a weekly meal plan with chicken. Can't wait for Wednesday's breakfast 🤮 https://t.co/GLgthjga3r,🇦🇺,,2011-12-29 04:33:41+00:00,87.0,893.0,1133,False,2022-12-06 02:17:05+00:00,['ChatGPT'],Twitter Web App,not_spam,got chatgpt make weekli meal plan chicken ca wait wednesday breakfast,0,-1,1,0
🦇🔊,I want #chatgpt to find me a job. I asked it to after this and it just repeated this message ☹️ https://t.co/pvpJdVFUnt,,Crypto Pharisee of Pharisees,2014-04-03 02:34:17+00:00,297.0,4035.0,13769,False,2022-12-08 05:05:02+00:00,['chatgpt'],TweetDeck,not_spam,want chatgpt find job ask repeat messag,1,0,-1,-1
CFB Victory Model,We are blushing 😊 #ChatGPT https://t.co/UkDUdtFB0D https://t.co/V6gCjM5sKj,,It’s our goal to produce the most accurate college football prediction model on the net. #trustthemath,2021-10-15 01:07:00+00:00,502.0,753.0,548,False,2022-12-08 06:27:42+00:00,['ChatGPT'],Twitter for iPhone,not_spam,blush chatgpt,0,0,1,1
__red__ - 'Very bitey individual',Oh #ChatGPT - you're a smart one! https://t.co/OcVcSDuZpp,,"""Could have saved the world but 'couldn't be bothered'""

Diaeresis Activist.

Come for the InfoSec, stay for the ants.",2008-11-15 18:55:54+00:00,1398.0,1920.0,4314,False,2022-12-08 01:41:34+00:00,['ChatGPT'],Twitter Web App,not_spam,oh chatgpt smart one,1,1,1,1
INTED,"One revolutionary AI ""talking"" about another revolutionary AI or how ChatGPT pitched INTED.

#INTED #ChatGPT #OpenAI #startup #ai https://t.co/OQL8clUreO","Berkeley, CA, USA",Personalizing audio and video content comprehension at the level of each individual’s optimal cognitive capacity.,2022-11-25 03:31:15+00:00,4.0,4.0,0,False,2022-12-06 03:14:09+00:00,"['INTED', 'ChatGPT']",Twitter Web App,not_spam,one revolutionari ai talk anoth revolutionari ai chatgpt pitch int int chatgpt openai startup ai,0,0,0,1
KinosAIJourney,A few more #chatgpt made AI art image on Midjourney. This time I used a much shorter and less word heavy method. Twitter isn't a good platform to share that unfortunately because of the character limitation. #aiartcommunity #midjourney https://t.co/S8TM86OPze,,"#midjourney #AIArt

poetry and mindfulness

I'm autistic.",2022-11-10 21:45:42+00:00,21.0,182.0,71,False,2022-12-12 16:24:34+00:00,['chatgpt'],Twitter for Android,not_spam,chatgpt made ai art imag midjourney time use much shorter less word heavi method twitter good platform share unfortun charact limit aiartcommun midjourney,1,1,0,0
Robert Lawrence,#ChatGPT in its current state is more like a consultant than an expert.,"Buffalo, NY","Robert Lawrence = Web developer from the web safe palette & under 10k page days. Lover of real estate, and a woodworker / handyman for fun.",2008-04-10 05:00:03+00:00,785.0,2380.0,14913,False,2022-12-11 16:53:49+00:00,['ChatGPT'],Twitter Web App,not_spam,chatgpt current state like consult expert,1,0,0,0
cihat saman,#ChatGPT proves once again that questions are more important than answers. The key of the arrive at the perfect result is a asking perfect question…,,Just a human with deep thoughts... CO-FOUNDER #smnway,2020-05-03 10:40:32+00:00,32.0,376.0,490,False,2022-12-08 21:06:46+00:00,['ChatGPT'],Twitter for iPhone,not_spam,chatgpt prove question import answer key arriv perfect result ask perfect,1,1,1,0
Richard Geldreich,"""Chains of the Sea"" by Gardner Raymond Dozois - we're closer now to that scenario than ever before:
https://t.co/yviXgevjzp

#ufotwitter #ai #uaptwitter #disclosure #chatgpt https://t.co/9Q9nQ81YYb",LEO,"Co-founder of Binomial: open source GPU texture interchange. Previously: SpaceX (Starlink), Ensemble, Valve (P2/DotA2/CSGO/Linux). UAP OSINT/history buff.",2011-03-26 10:04:43+00:00,13381.0,1904.0,30927,False,2022-12-09 20:50:31+00:00,,Twitter Web App,not_spam,chain sea gardner raymond dozoi closer scenario ever ufotwitt ai uaptwitt disclosur chatgpt,0,0,0,0
Tash 💙,"Seems like everybody's talking about #ChatGPT the latest #AI Chatbot with smarts

So what's the big fuss about?

Check out my thoughts here:

https://t.co/EwCsH4E1L7

#artificialintelligence #marketingintelligence #chatbots #riseoftherobots #automation #aiartificialintelligence https://t.co/Oq2anZdxMf","Witney, UK","MD @urbanelementweb, passionate about marketing, triathlete 🏊🚴‍♀️🏃‍♀️ & mum of two 👦🧒 Tweeting about #SocialMediaMarketing #DigitalMarketing #Webdesign",2009-08-28 08:25:00+00:00,6330.0,6280.0,2810,False,2022-12-19 12:56:49+00:00,"['ChatGPT', 'AI']",Twitter Web App,not_spam,seem like everybodi talk chatgpt latest ai chatbot smart big fuss check thought artificialintellig marketingintellig chatbot riseoftherobot autom aiartificialintellig,1,1,0,1
DazzaGreenwood,"Taking #ChatGPT through an entire lifecycle of legal scenario development from a dispute, to litigation/appeal, to political backlash, to reform legislation, to insurance implications, to re-analysis of the original dispute under the new hypothesized law! https://t.co/BecCJR2VOp",USA,Consultancy & Research,2008-04-03 08:21:34+00:00,1563.0,996.0,2819,False,2022-12-19 21:43:51+00:00,['ChatGPT'],Twitter Web App,not_spam,take chatgpt entir lifecycl legal scenario develop disput polit backlash reform legisl insur implic origin disput new hypothes law,1,1,0,0
HHH,"An AI bot more sincere than your next door atheist

#ChatGPT #AI #islam  #atheism #dawah https://t.co/fbUXk3swam",,Semi-professional fact checker against Islamic misinformation.,2012-09-16 17:54:51+00:00,136.0,526.0,11763,False,2022-12-19 12:06:14+00:00,"['ChatGPT', 'AI', 'islam', 'atheism', 'dawah']",Twitter for iPhone,not_spam,ai bot sincer next door atheist chatgpt ai islam atheism dawah,0,0,0,0
#TwittoBe,"Top Belgian entrepreneurship hashtags right now in Belgium: #NEDARG, #kernenergie, #Qatar2022, #ChatGPT, #ParlWal https://t.co/OPAM8xcVzM","Brussels, Belgium",Real time dashboard of Belgian startup tweets. Created by @me_bx,2013-05-20 20:36:23+00:00,349.0,268.0,12,False,2022-12-09 22:00:27+00:00,"['NEDARG', 'kernenergie', 'Qatar2022', 'ChatGPT', 'ParlWal']",twitto_be_bot,not_spam,top belgian entrepreneurship hashtag right belgium nedarg kernenergi qatar2022 chatgpt parlwal,1,1,0,0
Roberto Bianchini,@ZaErdman @ibogost Was that the only prompt you provided? I think @OpenAI said that #ChatGPT doesn't have internet access and its trained ended in 2021. How does it write about an article that came out yesterday?,São Paulo,AI Researcher and Game Developer making things for a living. Sometimes software sometimes hardware. Musician at spare times.,2009-09-01 19:02:03+00:00,105.0,479.0,865,False,2022-12-08 21:03:08+00:00,['ChatGPT'],Twitter Web App,not_spam,zaerdman ibogost prompt provid think openai said chatgpt internet access train end 2021 write articl came yesterday,0,0,-1,0
Maurice,"Spending far too much time chatting with ChatGPT. 

How I describe it - it is like sitting across from the most knowledgeable person you know and you can ask them anything in a conversational style.
#ChatGPT","Dublin, Ireland ",Exploring. Learning. Running. Sales at HubSpot. Views are my own.,2013-02-20 03:09:31+00:00,722.0,2588.0,3892,False,2022-12-08 23:16:26+00:00,,Twitter for iPhone,not_spam,spend far much time chat chatgpt describ like sit across knowledg person know ask anyth convers style chatgpt,1,1,0,0
psychonaut | w3.ᵍᵐ,"Except for not being able to hug, chatgpt is an almost perfect friend.
😭#ChatGPT",,ubiquitous assimilation,2020-08-23 12:02:48+00:00,47.0,267.0,506,False,2022-12-09 09:42:58+00:00,['ChatGPT'],Twitter for iPhone,not_spam,except abl hug chatgpt almost perfect friend chatgpt,1,1,1,1
Vitaly $WAGIE,"The ice cream machine is operational for the first time in 50 years only at Wagies! Get your ice cream! 🍦@wagieverse 

#WAGIES #WAGIE #MCDONALDS #OPENAI #CHATGPT @OpenAIERC @VitalikButerin @elonmusk @cz_binance https://t.co/kgoMerqJEl",,"💰 The first Work-to-Earn Metaverse
🍔 Flip meta-burgers and earn USDC
⚡️ openAI & #Ethereum Powered
 TG: @wagieverse",2017-10-24 19:56:28+00:00,5.0,18.0,112,False,2022-12-08 04:32:47+00:00,,Twitter Web App,not_spam,ice cream machin oper first time 50 year wagi get ice cream wagievers wagi wagi mcdonald openai chatgpt openaierc vitalikbuterin elonmusk,0,1,1,0
